date;Italy;US;Spain;Germany;India;Korea, South
2020-01-22;0;1;0;0;0;1
2020-01-23;0;1;0;0;0;1
2020-01-24;0;2;0;0;0;2
2020-01-25;0;2;0;0;0;2
2020-01-26;0;5;0;0;0;3
2020-01-27;0;5;0;1;0;4
2020-01-28;0;5;0;4;0;4
2020-01-29;0;5;0;4;0;4
2020-01-30;0;5;0;4;1;4
2020-01-31;2;7;0;5;1;11
2020-02-01;2;8;1;8;1;12
2020-02-02;2;8;1;10;2;15
2020-02-03;2;11;1;12;3;15
2020-02-04;2;11;1;12;3;16
2020-02-05;2;11;1;12;3;19
2020-02-06;2;11;1;12;3;23
2020-02-07;3;11;1;13;3;24
2020-02-08;3;11;1;13;3;24
2020-02-09;3;11;2;14;3;25
2020-02-10;3;11;2;14;3;27
2020-02-11;3;12;2;16;3;28
2020-02-12;3;12;2;16;3;28
2020-02-13;3;13;2;16;3;28
2020-02-14;3;13;2;16;3;28
2020-02-15;3;13;2;16;3;28
2020-02-16;3;13;2;16;3;29
2020-02-17;3;13;2;16;3;30
2020-02-18;3;13;2;16;3;31
2020-02-19;3;13;2;16;3;31
2020-02-20;3;13;2;16;3;104
2020-02-21;20;15;2;16;3;204
2020-02-22;62;15;2;16;3;433
2020-02-23;155;15;2;16;3;602
2020-02-24;229;15;2;16;3;833
2020-02-25;322;15;6;17;3;977
2020-02-26;453;15;13;27;3;1261
2020-02-27;655;16;15;46;3;1766
2020-02-28;888;16;32;48;3;2337
2020-02-29;1128;24;45;79;3;3150
2020-03-01;1694;30;84;130;3;3736
2020-03-02;2036;52;120;159;5;4335
2020-03-03;2502;72;165;196;5;5186
2020-03-04;3089;103;222;262;28;5621
2020-03-05;3858;172;259;482;30;6088
2020-03-06;4636;215;400;670;31;6593
2020-03-07;5883;337;500;799;34;7041
2020-03-08;7375;450;673;1040;39;7314
2020-03-09;9172;515;1073;1176;43;7478
2020-03-10;10149;713;1695;1457;56;7513
2020-03-11;12462;1105;2277;1908;62;7755
2020-03-12;15113;1530;2277;2078;73;7869
2020-03-13;17660;2115;5232;3675;82;7979
2020-03-14;21157;2814;6391;4585;102;8086
2020-03-15;24747;2986;7798;5795;113;8162
2020-03-16;27980;4354;9942;7272;119;8236
2020-03-17;31506;5970;11748;9257;142;8320
2020-03-18;35713;8386;13910;12327;156;8413
2020-03-19;41035;12674;17963;15320;194;8565
2020-03-20;47021;18736;20410;19848;244;8652
2020-03-21;53578;24508;25374;22213;330;8799
2020-03-22;59138;33152;28768;24873;396;8961
2020-03-23;63927;43850;35136;29056;499;8961
2020-03-24;69176;54112;39885;32986;536;9037
2020-03-25;74386;66055;49515;37323;657;9137
2020-03-26;80589;83611;57786;43938;727;9241
2020-03-27;86498;102101;65719;50871;887;9332
2020-03-28;92472;122059;73235;57695;987;9478
2020-03-29;97689;141205;80110;62095;1024;9583
2020-03-30;101739;162707;87956;66885;1251;9661
2020-03-31;105792;188744;95923;71808;1397;9786
2020-04-01;110574;214205;104118;77872;1998;9887
2020-04-02;115242;244610;112065;84794;2543;9976
2020-04-03;119827;276547;119199;91159;2567;10062
2020-04-04;124632;309699;126168;96092;3082;10156
2020-04-05;128948;337573;131646;100123;3588;10237
2020-04-06;132547;367215;136675;103374;4778;10284
2020-04-07;135586;397992;141942;107663;5311;10331
2020-04-08;139422;429686;148220;113296;5916;10384
2020-04-09;143626;464442;153222;118181;6725;10423
2020-04-10;147577;497943;158273;122171;7598;10450
2020-04-11;152271;527969;163027;124908;8446;10480
2020-04-12;156363;556522;166831;127854;9205;10512
2020-04-13;159516;581813;170099;130072;10453;10537
2020-04-14;162488;608878;172541;131359;11487;10564
2020-04-15;165155;637974;177644;134753;12322;10591
2020-04-16;168941;669272;184948;137698;13430;10613
2020-04-17;172434;701996;190839;141397;14352;10635
2020-04-18;175925;730266;191726;143342;15722;10653
2020-04-19;178972;756544;198674;145184;17615;10661
2020-04-20;181228;783931;200210;147065;18539;10674
2020-04-21;183957;809295;204178;148291;20080;10683
2020-04-22;187327;837627;208389;150648;21370;10694
2020-04-23;189973;871617;213024;153129;23077;10708
2020-04-24;192994;907908;202990;154999;24530;10718
2020-04-25;195351;940829;205905;156513;26283;10728
2020-04-26;197675;968518;207634;157770;27890;10738
2020-04-27;199414;990983;209465;158758;29451;10752
2020-04-28;201505;1015518;210773;159912;31324;10761
2020-04-29;203591;1043038;212917;161539;33062;10765
2020-04-30;205463;1072667;213435;163009;34863;10774
2020-05-01;207428;1106829;215216;164077;37257;10780
2020-05-02;209328;1136024;216582;164967;39699;10793
2020-05-03;210717;1161611;217466;165664;42505;10801
2020-05-04;211938;1184086;218011;166152;46437;10804
2020-05-05;213013;1208271;219329;167007;49400;10806
2020-05-06;214457;1233527;220325;168162;52987;10810
2020-05-07;215858;1261409;221447;169430;56351;10822
2020-05-08;217185;1288587;222857;170588;59695;10840
2020-05-09;218268;1314320;223578;171324;62808;10874
2020-05-10;219070;1334084;224350;171879;67161;10909
2020-05-11;219814;1352962;227436;172576;70768;10936
2020-05-12;221216;1375152;228030;173171;74292;10962
2020-05-13;222104;1396110;228691;174098;78055;10991
2020-05-14;223096;1423727;229540;174478;81997;11018
2020-05-15;223885;1449027;230183;175233;85784;11037
2020-05-16;224760;1474128;230698;175752;90648;11050
2020-05-17;225435;1493132;230698;176369;95698;11065
2020-05-18;225886;1514901;231606;176551;100328;11078
2020-05-19;226699;1535350;232037;177778;106475;11110
2020-05-20;227364;1559157;232555;178473;112028;11122
2020-05-21;228006;1584512;233037;179021;118226;11142
2020-05-22;228658;1608653;234824;179710;124794;11165
2020-05-23;229327;1630476;235290;179986;131423;11190
2020-05-24;229858;1651289;235772;180328;138536;11206
2020-05-25;230158;1670280;235400;180600;144950;11225
2020-05-26;230555;1689163;236259;181200;150793;11265
2020-05-27;231139;1707445;236259;181524;158086;11344
2020-05-28;231732;1730260;237906;182196;165386;11402
2020-05-29;232248;1754764;238564;182922;173491;11441
2020-05-30;232664;1779214;239228;183189;181827;11468
2020-05-31;232997;1799124;239479;183410;190609;11503
2020-06-01;233197;1816479;239638;183594;198370;11541
2020-06-02;233515;1837374;239932;183879;207191;11590
2020-06-03;233836;1857332;240326;184121;216824;11629
2020-06-04;234013;1878683;240660;184472;226713;11668
2020-06-05;234531;1903907;240978;184924;236184;11719
2020-06-06;234801;1926639;241310;185450;246622;11776
2020-06-07;234998;1944370;241550;185750;257486;11814
2020-06-08;235278;1961785;241717;186109;265928;11852
2020-06-09;235561;1979912;241966;186506;276146;11902
2020-06-10;235763;2000706;242280;186522;286605;11947
2020-06-11;236142;2023656;242707;186691;297535;12003
2020-06-12;236305;2048986;243209;187226;308993;12051
2020-06-13;236651;2074542;243605;187267;320922;12085
2020-06-14;236989;2094366;243928;187518;332424;12121
2020-06-15;237290;2114026;244109;187682;343091;12155
2020-06-16;237500;2137731;244328;188252;354065;12198
2020-06-17;237828;2163290;244683;188604;366946;12257
2020-06-18;238159;2191099;245268;189817;380532;12306
2020-06-19;238011;2222579;245575;190299;395048;12373
2020-06-20;238275;2255328;245938;190670;410451;12421
2020-06-21;238499;2281767;246272;191272;425282;12438
2020-06-22;238720;2312303;246504;191768;440215;12484
2020-06-23;238833;2347491;246752;192480;456183;12535
2020-06-24;239410;2382426;247086;192871;473105;12563
2020-06-25;239706;2422299;247486;193371;490401;12602
2020-06-26;239961;2467554;247905;194036;508953;12653
2020-06-27;240136;2510259;248469;194458;528859;12715
2020-06-28;240310;2549864;248770;194693;548318;12757
2020-06-29;240436;2590668;248970;195042;566840;12800
2020-06-30;240578;2636414;249271;195418;585481;12850
2020-07-01;240760;2687588;249659;195893;604641;12904
2020-07-02;240961;2742049;250103;196370;625544;12967
2020-07-03;241184;2795361;250545;196780;648315;13030
2020-07-04;241419;2841241;250545;197198;673165;13091
2020-07-05;241611;2891124;250545;197523;697413;13137
2020-07-06;241819;2936077;251789;198064;719664;13181
2020-07-07;241956;2996098;252130;198343;742417;13244
2020-07-08;242149;3054699;252513;198699;767296;13293
2020-07-09;242363;3117946;253056;199001;793802;13338
2020-07-10;242639;3185737;253908;199332;820916;13373
2020-07-11;242827;3245925;253908;199709;849522;13417
2020-07-12;243061;3304942;253908;199919;878254;13479
2020-07-13;243230;3364157;255953;200180;906752;13512
2020-07-14;243344;3431574;256619;200456;936181;13551
2020-07-15;243506;3498902;257494;200890;968857;13612
2020-07-16;243736;3576157;258855;201450;1003832;13672
2020-07-17;243967;3647715;260255;202045;1039084;13711
2020-07-18;244216;3711413;260255;202426;1077781;13745
2020-07-19;244434;3773260;260255;202735;1118206;13771
2020-07-20;244624;3834677;264836;203325;1155338;13816
2020-07-21;244752;3899211;266194;203717;1193078;13879
2020-07-22;245032;3970121;267551;204276;1238798;13938
2020-07-23;245338;4038816;270166;204881;1288108;13979
2020-07-24;245590;4112531;272421;205623;1337024;14092
2020-07-25;245864;4178970;272421;206278;1385635;14150
2020-07-26;246118;4233923;272421;206667;1435616;14175
2020-07-27;246286;4290337;278782;207112;1480073;14203
2020-07-28;246488;4356206;280610;207707;1531669;14251
2020-07-29;246776;4426982;282641;208546;1581963;14269
2020-07-30;247158;4495015;285430;209535;1634746;14305
2020-07-31;247537;4562107;288522;210399;1695988;14336
2020-08-01;247832;4620592;288522;211005;1750723;14366
2020-08-02;248070;4668172;288522;211220;1803695;14389
2020-08-03;248229;4713540;297054;212111;1855745;14423
2020-08-04;248419;4771080;302814;212828;1908254;14456
2020-08-05;248803;4823890;305767;214113;1964536;14499
2020-08-06;249204;4883582;309855;215039;2027074;14519
2020-08-07;249756;4941755;314362;216196;2088611;14562
2020-08-08;250103;4997929;314362;216903;2153010;14598
2020-08-09;250566;5044864;314362;217288;2215074;14626
2020-08-10;250825;5094400;322980;218508;2268675;14660
2020-08-11;251237;5141208;326612;219540;2329638;14714
2020-08-12;251713;5197411;329784;220859;2396637;14770
2020-08-13;252235;5248958;337334;222281;2461190;14873
2020-08-14;252809;5313252;342813;223791;2525922;15039
2020-08-15;253438;5361165;342813;224488;2589952;15318
2020-08-16;253915;5403213;342813;225007;2647663;15515
2020-08-17;254235;5438325;359082;226700;2702681;15761
2020-08-18;254636;5483388;364196;228120;2767253;16058
2020-08-19;255278;5529824;370867;229706;2836925;16346
2020-08-20;256118;5573847;377906;231292;2905825;16670
2020-08-21;257065;5622470;386054;233029;2975701;17002
2020-08-22;258136;5667070;386054;233861;3044940;17399
2020-08-23;259345;5701645;386054;234494;3106348;17665
2020-08-24;260298;5739536;405436;236122;3167323;17945
2020-08-25;261174;5777710;412553;237583;3224547;18265
2020-08-26;262540;5821819;419849;239010;3310234;18706
2020-08-27;263949;5867785;429507;240571;3387500;19077
2020-08-28;265409;5913941;439286;242126;3463972;19400
2020-08-29;266853;5961094;439286;242835;3542733;19699
2020-08-30;268218;5996431;439286;243305;3621245;19947
2020-08-31;269214;6030587;462858;244802;3691166;20182
2020-09-01;270189;6073840;470973;246015;3769523;20449
2020-09-02;271515;6113510;479554;247411;3853406;20644
2020-09-03;272912;6150016;488513;248840;3936747;20842
2020-09-04;274644;6200518;498989;250283;4023179;21010
2020-09-05;276338;6244970;498989;251058;4113811;21177
2020-09-06;277634;6276365;498989;251728;4204613;21296
2020-09-07;278784;6300622;525549;253626;4280422;21432
2020-09-08;280153;6327009;534513;254957;4370128;21588
2020-09-09;281583;6360212;543379;256433;4465863;21743
2020-09-10;283180;6396100;554143;258149;4562414;21919
2020-09-11;284796;6443652;566326;259735;4659984;22055
2020-09-12;286297;6485123;566326;260817;4754356;22176
2020-09-13;287753;6519573;566326;261737;4754356;22285
